# Created by WannierIO.jl 2024-01-31T16:59:54.076
36
51
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -4   -2    0   21   11    0.000126   -0.000090
   -4   -2    0   22   11    0.000162   -0.000050
   -4   -2    0   23   11   -0.000430   -0.000646
   -4   -2    0   24   11    0.000956    0.000418
   -4   -2    0   25   11    0.000000    0.000000
   -4   -2    0   26   11    0.000000    0.000000
   -4   -2    0   27   11    0.000000    0.000000
   -4   -2    0   28   11    0.000000    0.000000
   -4   -2    0   29   11   -0.000874    0.000034
   -4   -2    0   30   11   -0.000759    0.000190
   -4   -2    0   31   11   -0.000402   -0.000251
   -4   -2    0   32   11   -0.000492   -0.000036
   -4   -2    0   33   11    0.000000    0.000000
   -4   -2    0   34   11    0.000000    0.000000
   -4   -2    0   35   11    0.000000    0.000000
   -4   -2    0   36   11    0.000000    0.000000
